“  double quote left
”  double quote right
‘  quote left
’  quote right
„  comma double
‚  comma
«  guillemet left
»  guillemet right
‹  single angle left
›  single angle right
▸  triangle
•  bullet
●  bullet big
○  circle
□  square
☒  square checked
¶  paragraph
§  section
†  dagger
◊  lozenge
←  arrow left
→  arrow right
↔  arrow both
↓  arrow down
↑  arrow up
↕  arrow updown
⇐  double arrow left
⇒  double arrow right
⇔  double arrow both
⇓  double arrow down
⇑  double arrow up
⇕  double arrow updown
¦  broken pipe
┆  more broken pipe
⟨  angle left
⟩  angle right
·  centered period
´  acute accent
˝  acute accent double
˘  brave accent
ˇ  caron accent
—  emdash
–  endash
‐  hyphen
↵  carriage return
✓  check mark
⎨  midbrace left
⎬  midbrace right
⎪  long pipe
¡  down exclamation
¿  down question
¢  cent
£  pound
€  euro
ƒ  florin
¥  yen
¤  currency
©  copyright
®  registered
™  trademark
¼  1/4
½  1/2
¾  3/4
⅛  1/8
⅜  3/8
⅝  5/8
⅞  7/8
¹  1
²  2
³  3
×  multiply
÷  divide
∃  there exists
∀  for all
∋  sucht that
∴  therefore
±  plus minus
⋅  multiply dot
⊗  multiply circled
⊕  plus circled
∗  asterisk
≤  less equal
≥  greater equal
≠  not equal
≡  equivalence
≈  almost equal
∝  proportional
∅  empty
∈  element
∉  not element
⊆  subset equal
⊇  superset equal
⊂  subset
⊄  not subset
⊃  superset
⊅  not superset
∩  intersection
∪  union
∠  angle
∫  integral
∑  sum
∏  product
∐  coproduct
∇  gradient
√  radical
∞  infinity
′  minute
″  second
Δ  delta
Σ  sigma
Ω  omega
α  alpha
β  beta
δ  delta
ε  epsilon
η  eta
µ  mu
θ  theta
λ  lambda
π  pi
ρ  rho
ω  omega
♠  spade
♥  heart
♦  diamond
♣  club
♡  e heart
♢  e diamond
